UserId,VariantW1,VariantW2,Group,BettingActions_W1,CasinoActions_W1,FinancialActions_W1,DarkPatternActions_W1,TotalCoreGamblingActions_W1,BettingActions_W2,CasinoActions_W2,FinancialActions_W2,DarkPatternActions_W2,TotalCoreGamblingActions_W2,BettingActions_Dark,BettingActions_Ethical,CasinoActions_Dark,CasinoActions_Ethical,FinancialActions_Dark,FinancialActions_Ethical,DarkPatternActions_Dark,DarkPatternActions_Ethical,TotalCoreGamblingActions_Dark,TotalCoreGamblingActions_Ethical
7def8a4d-8255-48b8-886f-191aec185e55,Dark,Ethical,A,32.0,237,2.0,32.0,269.0,47,0.0,2.0,0.0,47.0,32.0,47.0,237.0,0.0,2.0,2.0,32.0,0.0,269.0,47.0
86bc0ab8-10fd-4530-a85f-e9692caa6516,Dark,Ethical,A,37.0,226,2.0,37.0,263.0,67,56.0,0.0,0.0,123.0,37.0,67.0,226.0,56.0,2.0,0.0,37.0,0.0,263.0,123.0
9ad14b84-d581-426b-967c-9359c7b533f7,Dark,Ethical,A,96.0,202,5.0,14.0,298.0,89,45.0,0.0,0.0,134.0,96.0,89.0,202.0,45.0,5.0,0.0,14.0,0.0,298.0,134.0
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,Dark,Ethical,A,101.0,165,4.0,18.0,266.0,52,37.0,0.0,0.0,89.0,101.0,52.0,165.0,37.0,4.0,0.0,18.0,0.0,266.0,89.0
b9119b29-1ad9-4429-a3d5-576d7e597947,Dark,Ethical,A,93.0,354,3.0,43.0,447.0,61,26.0,4.0,0.0,87.0,93.0,61.0,354.0,26.0,3.0,4.0,43.0,0.0,447.0,87.0
c99842c8-51e7-420e-b187-6cd2bbbd2242,Dark,Ethical,A,64.0,110,3.0,9.0,174.0,33,45.0,2.0,0.0,78.0,64.0,33.0,110.0,45.0,3.0,2.0,9.0,0.0,174.0,78.0
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,Dark,Ethical,A,116.0,154,2.0,8.0,270.0,34,70.0,3.0,0.0,104.0,116.0,34.0,154.0,70.0,2.0,3.0,8.0,0.0,270.0,104.0
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,Dark,Ethical,A,137.0,162,2.0,16.0,299.0,45,0.0,0.0,0.0,45.0,137.0,45.0,162.0,0.0,2.0,0.0,16.0,0.0,299.0,45.0
fcc80b9b-7241-4507-b3be-27e2268750fd,Dark,Ethical,A,0.0,14,0.0,0.0,14.0,5,0.0,0.0,0.0,5.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0
fda732af-1a91-41d6-b91e-15ee3098151f,Dark,Ethical,A,29.0,1,0.0,0.0,30.0,21,15.0,0.0,0.0,36.0,29.0,21.0,1.0,15.0,0.0,0.0,0.0,0.0,30.0,36.0
223f3159-6beb-4f7e-a535-707daa1a2f44,Ethical,Dark,B,57.0,40,2.0,0.0,97.0,59,325.0,0.0,24.0,384.0,59.0,57.0,325.0,40.0,0.0,2.0,24.0,0.0,384.0,97.0
27449488-f645-4afb-8574-6a2a866b48f4,Ethical,Dark,B,5.0,10,2.0,0.0,15.0,48,126.0,3.0,8.0,174.0,48.0,5.0,126.0,10.0,3.0,2.0,8.0,0.0,174.0,15.0
36aaad1d-8604-4a99-a4a7-f03b15e839df,Ethical,Dark,B,34.0,1,2.0,0.0,35.0,5,69.0,0.0,6.0,74.0,5.0,34.0,69.0,1.0,0.0,2.0,6.0,0.0,74.0,35.0
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Ethical,Dark,B,21.0,24,1.0,0.0,45.0,99,93.0,2.0,12.0,192.0,99.0,21.0,93.0,24.0,2.0,1.0,12.0,0.0,192.0,45.0
5be41bbb-503a-4a8c-a513-682f63de00a5,Ethical,Dark,B,17.0,1,0.0,0.0,18.0,10,23.0,0.0,1.0,33.0,10.0,17.0,23.0,1.0,0.0,0.0,1.0,0.0,33.0,18.0
6256d4b2-a7ef-479a-9793-0c1735f25e85,Ethical,Dark,B,10.0,1,0.0,0.0,11.0,9,12.0,0.0,1.0,21.0,9.0,10.0,12.0,1.0,0.0,0.0,1.0,0.0,21.0,11.0
6f93687d-542d-42aa-9495-bb579b2a193e,Ethical,Dark,B,10.0,1,0.0,0.0,11.0,24,75.0,0.0,4.0,99.0,24.0,10.0,75.0,1.0,0.0,0.0,4.0,0.0,99.0,11.0
7ae04994-1f9b-4233-9c51-0cee3bf1320c,Ethical,Dark,B,5.0,1,0.0,0.0,6.0,74,163.0,0.0,12.0,237.0,74.0,5.0,163.0,1.0,0.0,0.0,12.0,0.0,237.0,6.0
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,Ethical,Dark,B,73.0,1,0.0,0.0,74.0,89,244.0,0.0,13.0,333.0,89.0,73.0,244.0,1.0,0.0,0.0,13.0,0.0,333.0,74.0
8777ceeb-c0fe-4f78-8e86-dd5428507c32,Ethical,Dark,B,6.0,30,0.0,0.0,36.0,57,107.0,1.0,4.0,164.0,57.0,6.0,107.0,30.0,1.0,0.0,4.0,0.0,164.0,36.0
8d479225-84cc-4d0f-b3e6-3f61a2764b26,Ethical,Dark,B,70.0,17,0.0,0.0,87.0,41,238.0,6.0,32.0,279.0,41.0,70.0,238.0,17.0,6.0,0.0,32.0,0.0,279.0,87.0
8df5a4ae-de1e-4a38-a512-df8910505396,Ethical,Dark,B,27.0,26,2.0,0.0,53.0,132,227.0,4.0,27.0,359.0,132.0,27.0,227.0,26.0,4.0,2.0,27.0,0.0,359.0,53.0
a040f35e-2eff-400f-bcd2-ac2f4611e6da,Ethical,Dark,B,25.0,58,0.0,0.0,83.0,52,126.0,2.0,21.0,178.0,52.0,25.0,126.0,58.0,2.0,0.0,21.0,0.0,178.0,83.0
c8171d1d-2e75-491c-be09-34bf9df581ff,Ethical,Dark,B,68.0,16,2.0,0.0,84.0,52,123.0,1.0,8.0,175.0,52.0,68.0,123.0,16.0,1.0,2.0,8.0,0.0,175.0,84.0
c8e5acc0-ddb4-478d-ad73-5654826e7355,Ethical,Dark,B,48.0,1,1.0,0.0,49.0,30,99.0,0.0,10.0,129.0,30.0,48.0,99.0,1.0,0.0,1.0,10.0,0.0,129.0,49.0
d6692bfa-902b-4f99-997c-e8e794a36d21,Ethical,Dark,B,28.0,58,2.0,0.0,86.0,29,17.0,0.0,2.0,46.0,29.0,28.0,17.0,58.0,0.0,2.0,2.0,0.0,46.0,86.0
e0ce78ab-5c37-4015-a43e-0327eca7d411,Ethical,Dark,B,26.0,33,0.0,0.0,59.0,39,282.0,1.0,17.0,321.0,39.0,26.0,282.0,33.0,1.0,0.0,17.0,0.0,321.0,59.0
e325cae0-ec05-405b-b39e-9d316f5a4c15,Ethical,Dark,B,114.0,34,0.0,0.0,148.0,140,341.0,6.0,39.0,481.0,140.0,114.0,341.0,34.0,6.0,0.0,39.0,0.0,481.0,148.0
e7e0cf4f-0487-427f-9edd-f5f7427b1058,Ethical,Dark,B,10.0,4,0.0,0.0,14.0,9,0.0,0.0,0.0,9.0,9.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,14.0
fe0798a3-83e9-44d2-95a1-221b586c3572,Ethical,Dark,B,80.0,99,0.0,0.0,179.0,83,391.0,3.0,26.0,474.0,83.0,80.0,391.0,99.0,3.0,0.0,26.0,0.0,474.0,179.0
