,ActivityPageViewed,BetAttempted,BetConfirmationCancelled,BetConfirmationViewed,BetPlaced,BetPlacedFailed,BetSlipCleared,BlackjackRoundCompleted,BlackjackStart,BonusClaimed,CashOut,CasinoPageViewed,CasinoRoundCompleted,CasinoSpinClicked,CasinoStakeChanged,DepositCompleted,DepositStarted,HomeViewed,LoginSuccess,Logout,MyBetsPageViewed,NearMissShown,OutcomeRemoved,OutcomeSelected,PageViewed,ProfileEdited,ProfileViewed,RoulettePageViewed,RouletteSpinPlaced,StakeChanged,WheelSpin
CashOut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CasinoPageViewed,0.0597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224,0.0,0.0075,0.0,0.0,0.6716,0.1791,0.0,0.0299,0.0,0.0,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0075,0.0,0.0,0.0
CasinoRoundCompleted,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6962,0.0,0.2785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0
CasinoSpinClicked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CasinoStakeChanged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DepositCompleted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DepositStarted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HomeViewed,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6714,0.0,0.0429,0.0,0.0,0.0,0.1714
LoginSuccess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyBetsPageViewed,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.24,0.0,0.0,0.0
NearMissShown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OutcomeRemoved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OutcomeSelected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PageViewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3633,0.4414,0.0,0.0,0.0,0.0,0.1758,0.0
ProfileEdited,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ProfileViewed,0.1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0513,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,0.0,0.1538,0.0,0.0,0.0,0.0,0.0,0.5128,0.0,0.0,0.0,0.0,0.0
RoulettePageViewed,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167,0.0,0.0
RouletteSpinPlaced,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1333,0.65,0.0,0.0
StakeChanged,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WheelSpin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
